"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-4-28","11.92","11.71","12.02","11.61","73.44M","-0.08%"
"2023-4-27","11.93","11.36","12.08","11.26","99.57M","2.76%"
"2023-4-26","11.61","11.64","11.83","11.39","69.92M","-1.02%"
"2023-4-25","11.73","11.47","11.77","11.41","93.09M","4.27%"
"2023-4-24","11.25","11.43","11.56","11.18","66.21M","-2.17%"
"2023-4-21","11.50","11.72","11.77","11.46","60.13M","-1.46%"
"2023-4-20","11.67","11.70","11.86","11.40","98.75M","-1.02%"
"2023-4-19","11.79","11.97","12.12","11.75","63.10M","-1.50%"
"2023-4-18","11.97","11.95","12.13","11.82","60.53M","-0.58%"
"2023-4-17","12.04","11.72","12.16","11.65","115.95M","-1.79%"
"2023-4-14","12.26","12.33","12.50","12.13","94.68M","1.57%"
"2023-4-13","12.07","12.23","12.44","11.81","116.49M","-1.39%"
"2023-4-12","12.24","12.02","12.51","11.86","120.20M","2.00%"
"2023-4-11","12.00","11.32","12.05","11.20","115.44M","5.26%"
"2023-4-10","11.40","11.40","11.62","11.18","71.67M","-0.35%"
"2023-4-7","11.44","11.18","11.68","11.18","87.11M","0.53%"
"2023-4-6","11.38","11.20","11.57","11.08","139.81M","4.50%"
"2023-4-4","10.89","10.35","10.95","10.33","95.94M","6.66%"
"2023-4-3","10.21","10.38","10.43","10.16","69.04M","-3.04%"
"2023-3-31","10.53","9.91","10.69","9.90","131.78M","7.34%"
"2023-3-30","9.81","9.77","9.84","9.65","38.12M","0.10%"
"2023-3-29","9.80","9.95","9.96","9.76","33.13M","-0.51%"
"2023-3-28","9.85","10.01","10.08","9.75","52.48M","-2.57%"
"2023-3-27","10.11","9.92","10.16","9.78","63.49M","0.70%"
"2023-3-24","10.04","10.17","10.23","10.00","60.16M","-0.79%"
"2023-3-23","10.12","9.98","10.20","9.94","79.54M","2.12%"
"2023-3-22","9.91","9.77","9.94","9.68","69.53M","-0.70%"
"2023-3-21","9.98","10.01","10.10","9.88","93.70M","-2.25%"
"2023-3-20","10.21","10.05","10.27","9.89","188.18M","4.61%"
"2023-3-17","9.76","9.63","9.83","9.59","77.98M","-0.31%"
"2023-3-16","9.79","9.88","10.02","9.76","91.94M","-0.10%"
"2023-3-15","9.80","9.77","10.00","9.61","92.06M","-0.41%"
"2023-3-14","9.84","9.97","10.25","9.82","142.79M","1.44%"
"2023-3-13","9.70","9.55","9.75","9.48","112.27M","4.30%"
"2023-3-10","9.30","9.19","9.47","9.12","71.87M","2.88%"
"2023-3-9","9.04","9.13","9.19","8.95","40.22M","-1.09%"
"2023-3-8","9.14","9.12","9.23","9.00","72.32M","-2.56%"
"2023-3-7","9.38","8.97","9.57","8.95","112.85M","3.99%"
"2023-3-6","9.02","8.81","9.06","8.77","60.98M","2.97%"
"2023-3-3","8.76","8.74","8.77","8.67","24.32M","0.69%"
"2023-3-2","8.70","8.70","8.75","8.68","20.37M","-0.11%"
"2023-3-1","8.71","8.72","8.82","8.70","53.98M","0.00%"
"2023-2-28","8.71","8.73","8.77","8.66","17.87M","0.11%"
"2023-2-27","8.70","8.69","8.80","8.62","26.07M","-0.34%"
"2023-2-24","8.73","8.78","8.79","8.68","23.00M","-0.46%"
"2023-2-23","8.77","8.82","8.87","8.72","29.25M","-0.68%"
"2023-2-22","8.83","8.64","8.97","8.63","79.15M","1.38%"
"2023-2-21","8.71","8.59","8.73","8.56","40.14M","1.52%"
