"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-4-28","12.08","11.89","12.14","11.81","15.65M","1.34%"
"2023-4-27","11.92","11.76","11.96","11.67","14.80M","0.93%"
"2023-4-26","11.81","11.81","11.83","11.63","14.18M","0.00%"
"2023-4-25","11.81","11.95","12.11","11.57","21.52M","-0.42%"
"2023-4-24","11.86","12.20","12.22","11.80","28.70M","-2.71%"
"2023-4-21","12.19","12.38","12.55","12.17","21.39M","-1.93%"
"2023-4-20","12.43","12.40","12.45","12.28","14.24M","0.00%"
"2023-4-19","12.43","12.68","12.79","12.38","21.66M","-1.89%"
"2023-4-18","12.67","12.63","12.87","12.56","18.93M","-0.55%"
"2023-4-17","12.74","12.60","12.77","12.51","22.48M","-0.78%"
"2023-4-14","12.84","13.00","13.08","12.75","34.23M","0.08%"
"2023-4-13","12.83","12.73","13.00","12.70","33.31M","0.31%"
"2023-4-12","12.79","12.73","12.94","12.72","36.41M","-0.08%"
"2023-4-11","12.80","12.64","12.87","12.56","37.44M","1.19%"
"2023-4-10","12.65","12.65","12.71","12.52","20.98M","-0.16%"
"2023-4-7","12.67","12.55","12.71","12.45","31.17M","-0.08%"
"2023-4-6","12.68","12.56","12.85","12.55","48.02M","1.93%"
"2023-4-4","12.44","12.28","12.50","12.28","29.46M","1.39%"
"2023-4-3","12.27","12.21","12.30","12.12","16.13M","-0.08%"
"2023-3-31","12.28","12.20","12.32","12.19","16.22M","0.99%"
"2023-3-30","12.16","12.12","12.19","12.06","14.07M","0.08%"
"2023-3-29","12.15","12.40","12.43","12.11","25.09M","-1.78%"
"2023-3-28","12.37","12.34","12.42","12.26","16.43M","-0.08%"
"2023-3-27","12.38","12.41","12.45","12.23","28.91M","-0.96%"
"2023-3-24","12.50","12.84","12.87","12.42","37.33M","-2.42%"
"2023-3-23","12.81","12.85","12.88","12.60","35.18M","0.16%"
"2023-3-22","12.79","12.71","12.85","12.62","34.65M","-0.85%"
"2023-3-21","12.90","12.99","13.01","12.79","48.56M","-2.20%"
"2023-3-20","13.19","12.81","13.33","12.65","83.91M","5.02%"
"2023-3-17","12.56","12.48","12.60","12.36","40.73M","-1.41%"
"2023-3-16","12.74","12.69","12.87","12.61","45.17M","1.11%"
"2023-3-15","12.60","12.60","12.78","12.47","43.30M","-2.02%"
"2023-3-14","12.86","12.72","13.02","12.64","77.91M","2.88%"
"2023-3-13","12.50","12.41","12.55","12.29","32.63M","2.21%"
"2023-3-10","12.23","12.17","12.34","12.15","20.28M","0.66%"
"2023-3-9","12.15","12.27","12.31","12.12","12.67M","-0.98%"
"2023-3-8","12.27","12.25","12.36","12.10","22.02M","-1.60%"
"2023-3-7","12.47","12.36","12.72","12.32","49.67M","0.40%"
"2023-3-6","12.42","12.14","12.42","12.13","38.30M","2.39%"
"2023-3-3","12.13","12.09","12.13","12.04","15.60M","0.50%"
"2023-3-2","12.07","12.15","12.16","12.02","16.63M","-0.58%"
"2023-3-1","12.14","12.11","12.16","12.04","16.09M","0.25%"
"2023-2-28","12.11","12.03","12.11","11.98","12.10M","0.75%"
"2023-2-27","12.02","12.15","12.16","12.00","18.59M","-1.39%"
"2023-2-24","12.19","12.26","12.27","12.08","17.58M","-0.57%"
"2023-2-23","12.26","12.21","12.28","12.21","10.24M","0.49%"
"2023-2-22","12.20","12.44","12.44","12.18","22.55M","-2.17%"
"2023-2-21","12.47","12.40","12.50","12.35","13.77M","0.65%"
"2023-2-20","12.39","12.32","12.40","12.20","14.22M","0.73%"
