"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-4-28","4.610","4.570","4.655","4.550","2.50M","0.88%"
"2023-4-27","4.570","4.460","4.580","4.380","3.61M","1.78%"
"2023-4-26","4.490","4.600","4.610","4.470","3.20M","-1.32%"
"2023-4-25","4.550","4.490","4.585","4.440","3.06M","1.11%"
"2023-4-24","4.500","4.530","4.560","4.460","5.07M","2.51%"
"2023-4-21","4.390","4.410","4.490","4.355","4.19M","-0.68%"
"2023-4-20","4.420","4.460","4.510","4.390","3.86M","2.08%"
"2023-4-19","4.330","4.360","4.400","4.305","3.87M","-3.99%"
"2023-4-18","4.510","4.540","4.646","4.500","3.86M","1.81%"
"2023-4-17","4.430","4.510","4.570","4.410","4.01M","-3.49%"
"2023-4-14","4.590","4.610","4.660","4.490","4.82M","-2.75%"
"2023-4-13","4.720","4.710","4.790","4.660","6.35M","4.89%"
"2023-4-12","4.500","4.620","4.620","4.440","4.20M","0.45%"
"2023-4-11","4.480","4.520","4.620","4.470","5.51M","1.13%"
"2023-4-10","4.430","4.450","4.499","4.400","3.01M","-2.42%"
"2023-4-6","4.540","4.500","4.550","4.425","3.26M","0.67%"
"2023-4-5","4.510","4.550","4.650","4.440","5.73M","3.68%"
"2023-4-4","4.350","4.240","4.420","4.185","4.70M","4.32%"
"2023-4-3","4.170","4.100","4.220","4.060","3.01M","1.71%"
"2023-3-31","4.100","4.170","4.178","4.050","3.69M","-1.91%"
"2023-3-30","4.180","4.080","4.185","4.050","3.53M","4.24%"
"2023-3-29","4.010","4.010","4.085","4.000","2.03M","-2.20%"
"2023-3-28","4.100","4.030","4.120","3.955","3.64M","3.54%"
"2023-3-27","3.960","3.910","3.990","3.850","3.15M","-2.22%"
"2023-3-24","4.050","4.070","4.095","3.980","5.15M","1.76%"
"2023-3-23","3.980","4.000","4.040","3.910","4.23M","1.02%"
"2023-3-22","3.940","3.830","4.000","3.820","5.43M","5.63%"
"2023-3-21","3.730","3.820","3.840","3.660","5.47M","-5.33%"
"2023-3-20","3.940","3.900","3.960","3.830","4.73M","4.51%"
"2023-3-17","3.770","3.540","3.855","3.500","25.27M","8.33%"
"2023-3-16","3.480","3.540","3.575","3.440","4.38M","-3.60%"
"2023-3-15","3.610","3.665","3.730","3.570","5.66M","0.84%"
"2023-3-14","3.580","3.520","3.620","3.461","4.96M","3.47%"
"2023-3-13","3.460","3.520","3.670","3.390","13.31M","9.49%"
"2023-3-10","3.160","3.070","3.290","3.070","5.80M","6.04%"
"2023-3-9","2.980","2.970","3.010","2.960","3.36M","0.34%"
"2023-3-8","2.970","2.980","3.045","2.940","2.75M","0.68%"
"2023-3-7","2.950","3.065","3.080","2.925","3.48M","-5.45%"
"2023-3-6","3.120","3.190","3.205","3.100","1.93M","-3.70%"
"2023-3-3","3.240","3.150","3.260","3.150","2.45M","5.54%"
"2023-3-2","3.070","3.050","3.090","3.040","3.00M","-1.29%"
"2023-3-1","3.110","3.050","3.150","3.010","3.11M","0.65%"
"2023-2-28","3.090","3.010","3.105","2.990","5.15M","3.34%"
"2023-2-27","2.990","3.020","3.050","2.990","1.84M","0.00%"
"2023-2-24","2.990","2.980","3.010","2.965","2.32M","-1.32%"
"2023-2-23","3.030","3.060","3.080","3.010","1.71M","0.66%"
"2023-2-22","3.010","2.990","3.080","2.980","3.94M","-5.35%"
"2023-2-21","3.180","3.200","3.240","3.140","2.15M","-1.85%"
"2023-2-17","3.240","3.205","3.280","3.150","2.42M","0.31%"
"2023-2-16","3.230","3.190","3.270","3.180","3.07M","-0.31%"
"2023-2-15","3.240","3.210","3.240","3.180","2.61M","-2.70%"
"2023-2-14","3.330","3.290","3.345","3.280","2.43M","1.22%"
"2023-2-13","3.290","3.340","3.355","3.280","2.03M","-0.60%"
"2023-2-10","3.310","3.340","3.350","3.270","2.58M","-1.49%"
"2023-2-9","3.360","3.520","3.545","3.340","3.16M","-3.45%"
"2023-2-8","3.480","3.530","3.580","3.470","3.19M","-1.97%"
"2023-2-7","3.550","3.520","3.635","3.511","6.85M","4.72%"
"2023-2-6","3.390","3.420","3.430","3.360","3.06M","-1.45%"
"2023-2-3","3.440","3.500","3.575","3.420","3.98M","-4.71%"
"2023-2-2","3.610","3.780","3.810","3.570","4.64M","-2.43%"
"2023-2-1","3.700","3.630","3.750","3.530","5.28M","5.41%"
"2023-1-31","3.510","3.510","3.535","3.471","3.73M","-0.28%"
"2023-1-30","3.520","3.590","3.610","3.510","3.80M","-1.95%"
"2023-1-27","3.590","3.680","3.690","3.590","3.37M","-4.27%"
"2023-1-26","3.750","3.830","3.850","3.715","2.27M","-0.79%"
"2023-1-25","3.780","3.680","3.800","3.680","2.32M","0.53%"
"2023-1-24","3.760","3.720","3.790","3.660","3.00M","-1.57%"
"2023-1-23","3.820","3.780","3.830","3.695","2.84M","-0.52%"
"2023-1-20","3.840","3.740","3.840","3.730","2.65M","1.59%"
"2023-1-19","3.780","3.750","3.830","3.720","3.46M","1.61%"
"2023-1-18","3.720","3.920","3.940","3.710","3.90M","-2.62%"
"2023-1-17","3.820","3.910","3.930","3.770","3.88M","-6.14%"
"2023-1-13","4.070","4.050","4.125","3.990","3.76M","1.50%"
"2023-1-12","4.010","4.075","4.110","3.970","3.79M","0.50%"
"2023-1-11","3.990","4.030","4.050","3.910","3.55M","1.01%"
"2023-1-10","3.950","3.950","3.980","3.880","2.57M","1.28%"
"2023-1-9","3.900","3.930","3.985","3.870","4.79M","1.83%"
"2023-1-6","3.830","3.840","3.870","3.770","4.12M","1.86%"
"2023-1-5","3.760","3.720","3.760","3.630","2.81M","-0.53%"
"2023-1-4","3.780","3.690","3.790","3.635","4.77M","7.39%"
"2023-1-3","3.520","3.470","3.620","3.470","4.26M","3.53%"
"2022-12-30","3.400","3.430","3.455","3.320","2.93M","-1.73%"
"2022-12-29","3.460","3.530","3.600","3.435","4.02M","1.76%"
"2022-12-28","3.400","3.510","3.550","3.360","3.69M","-2.30%"
"2022-12-27","3.480","3.400","3.530","3.380","3.73M","2.35%"
"2022-12-23","3.400","3.450","3.475","3.380","3.72M","-1.73%"
"2022-12-22","3.460","3.380","3.490","3.310","5.26M","1.76%"
"2022-12-21","3.400","3.410","3.460","3.390","3.45M","1.80%"
"2022-12-20","3.340","3.340","3.430","3.330","3.27M","2.45%"
"2022-12-19","3.260","3.330","3.420","3.230","4.07M","1.56%"
"2022-12-16","3.210","3.230","3.290","3.184","10.20M","-0.62%"
"2022-12-15","3.230","3.385","3.400","3.220","3.91M","-7.98%"
"2022-12-14","3.510","3.620","3.645","3.500","6.57M","0.00%"
"2022-12-13","3.510","3.610","3.640","3.455","4.08M","4.15%"
"2022-12-12","3.370","3.440","3.460","3.320","4.20M","-2.32%"
"2022-12-9","3.450","3.550","3.628","3.450","4.36M","-1.71%"
"2022-12-8","3.510","3.580","3.610","3.500","3.17M","0.29%"
"2022-12-7","3.500","3.580","3.640","3.500","4.56M","0.00%"
"2022-12-6","3.500","3.530","3.555","3.485","3.51M","1.74%"
"2022-12-5","3.440","3.520","3.570","3.430","2.79M","-2.27%"
"2022-12-2","3.520","3.510","3.565","3.505","4.44M","-2.76%"
"2022-12-1","3.620","3.670","3.755","3.550","7.19M","3.13%"
"2022-11-30","3.510","3.650","3.660","3.485","9.47M","0.29%"
"2022-11-29","3.500","3.500","3.570","3.470","4.31M","3.55%"
"2022-11-28","3.380","3.620","3.640","3.380","8.80M","-5.32%"
"2022-11-25","3.570","3.620","3.650","3.560","2.49M","0.00%"
"2022-11-23","3.570","3.590","3.620","3.445","5.63M","1.71%"
"2022-11-22","3.510","3.460","3.540","3.420","3.84M","4.15%"
"2022-11-21","3.370","3.360","3.420","3.340","2.50M","0.90%"
"2022-11-18","3.340","3.310","3.380","3.285","3.58M","0.60%"
"2022-11-17","3.320","3.320","3.375","3.290","3.42M","-3.77%"
"2022-11-16","3.450","3.420","3.560","3.420","4.26M","-0.29%"
"2022-11-15","3.460","3.510","3.530","3.385","5.31M","-0.57%"
"2022-11-14","3.480","3.490","3.540","3.435","6.22M","1.16%"
"2022-11-11","3.440","3.550","3.560","3.390","5.27M","-1.71%"
"2022-11-10","3.500","3.430","3.551","3.350","8.74M","9.03%"
"2022-11-9","3.210","3.240","3.300","3.180","5.41M","0.00%"
"2022-11-8","3.210","3.000","3.258","3.000","6.34M","5.94%"
"2022-11-7","3.030","3.000","3.050","2.960","4.27M","0.66%"
"2022-11-4","3.010","2.800","3.010","2.790","7.49M","14.02%"
"2022-11-3","2.640","2.640","2.705","2.620","3.53M","-3.30%"
"2022-11-2","2.730","2.900","2.920","2.720","7.76M","-6.83%"
"2022-11-1","2.930","2.950","2.950","2.890","4.69M","4.64%"
"2022-10-31","2.800","2.770","2.825","2.740","2.86M","-2.10%"
"2022-10-28","2.860","2.800","2.870","2.770","2.35M","0.00%"
"2022-10-27","2.860","2.890","2.928","2.840","2.93M","0.00%"
"2022-10-26","2.860","2.800","2.880","2.795","3.60M","3.62%"
"2022-10-25","2.760","2.700","2.810","2.700","4.37M","1.47%"
"2022-10-24","2.720","2.700","2.730","2.640","4.38M","-2.16%"
"2022-10-21","2.780","2.670","2.780","2.625","4.81M","6.51%"
"2022-10-20","2.610","2.550","2.710","2.550","4.94M","0.00%"
"2022-10-19","2.610","2.640","2.680","2.600","2.97M","-3.69%"
"2022-10-18","2.710","2.780","2.790","2.675","4.74M","-1.45%"
"2022-10-17","2.750","2.650","2.840","2.630","8.74M","9.56%"
"2022-10-14","2.510","2.640","2.660","2.470","7.72M","-3.83%"
"2022-10-13","2.610","2.550","2.660","2.495","6.08M","-2.97%"
"2022-10-12","2.690","2.760","2.800","2.670","4.72M","-2.18%"
"2022-10-11","2.750","2.810","2.900","2.745","5.87M","-0.36%"
"2022-10-10","2.760","2.780","2.840","2.740","4.41M","-2.82%"
"2022-10-7","2.840","2.910","2.945","2.822","9.05M","-0.70%"
"2022-10-6","2.860","2.850","2.910","2.800","5.62M","3.25%"
"2022-10-5","2.770","2.790","2.830","2.705","7.17M","-3.48%"
"2022-10-4","2.870","2.720","2.900","2.700","12.73M","11.24%"
"2022-10-3","2.580","2.480","2.590","2.445","9.41M","6.17%"
"2022-9-30","2.430","2.380","2.460","2.340","7.38M","2.97%"
"2022-9-29","2.360","2.310","2.360","2.270","6.42M","1.72%"
"2022-9-28","2.320","2.250","2.350","2.250","8.54M","5.45%"
"2022-9-27","2.200","2.150","2.240","2.150","8.59M","9.45%"
"2022-9-26","2.010","1.980","2.100","1.970","10.86M","0.50%"
"2022-9-23","2.000","1.950","2.025","1.935","19.66M","-6.10%"
"2022-9-22","2.130","2.100","2.160","2.090","6.48M","0.00%"
"2022-9-21","2.130","2.120","2.230","2.075","7.54M","0.47%"
"2022-9-20","2.120","2.100","2.120","2.075","6.61M","-2.30%"
"2022-9-19","2.170","2.100","2.190","2.080","7.25M","0.00%"
"2022-9-16","2.170","2.020","2.175","2.000","14.99M","3.33%"
"2022-9-15","2.100","2.140","2.170","2.065","11.25M","-4.11%"
"2022-9-14","2.190","2.190","2.240","2.160","6.45M","0.00%"
"2022-9-13","2.190","2.220","2.275","2.190","5.83M","-7.20%"
"2022-9-12","2.360","2.330","2.425","2.295","9.43M","-1.26%"
"2022-9-9","2.390","2.270","2.400","2.255","9.37M","7.17%"
"2022-9-8","2.230","2.270","2.290","2.160","10.03M","-7.08%"
"2022-9-7","2.400","2.330","2.430","2.300","5.94M","2.13%"
"2022-9-6","2.350","2.460","2.510","2.325","6.43M","-6.00%"
"2022-9-2","2.500","2.440","2.560","2.395","8.64M","3.73%"
"2022-9-1","2.410","2.520","2.550","2.410","8.55M","-7.66%"
"2022-8-31","2.610","2.630","2.700","2.500","13.79M","-4.04%"
"2022-8-30","2.720","2.990","3.000","2.690","8.91M","-10.53%"
"2022-8-29","3.040","3.100","3.160","3.040","3.42M","-3.80%"
"2022-8-26","3.160","3.290","3.345","3.120","3.48M","-3.95%"
"2022-8-25","3.290","3.300","3.310","3.235","2.86M","0.30%"
"2022-8-24","3.280","3.200","3.290","3.170","3.83M","0.92%"
"2022-8-23","3.250","3.230","3.349","3.215","3.86M","0.62%"
"2022-8-22","3.230","3.170","3.235","3.150","2.98M","0.94%"
"2022-8-19","3.200","3.270","3.270","3.180","3.04M","-4.19%"
"2022-8-18","3.340","3.320","3.350","3.280","2.18M","1.21%"
"2022-8-17","3.300","3.420","3.430","3.260","3.54M","-4.90%"
"2022-8-16","3.470","3.430","3.470","3.390","2.18M","-0.57%"
