"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-4-28","5.050","5.060","5.100","5.000","8.99M","-0.39%"
"2023-4-27","5.070","5.010","5.080","4.930","9.60M","1.40%"
"2023-4-26","5.000","5.080","5.110","5.000","10.79M","-0.40%"
"2023-4-25","5.020","4.980","5.040","4.910","10.41M","0.00%"
"2023-4-24","5.020","4.960","5.030","4.920","10.40M","1.21%"
"2023-4-21","4.960","5.020","5.040","4.910","14.22M","-2.36%"
"2023-4-20","5.080","5.080","5.125","5.060","12.27M","0.59%"
"2023-4-19","5.050","5.050","5.135","5.040","10.70M","-2.51%"
"2023-4-18","5.180","5.195","5.310","5.160","10.25M","0.39%"
"2023-4-17","5.160","5.280","5.300","5.150","13.01M","-3.37%"
"2023-4-14","5.340","5.210","5.360","5.160","20.46M","0.38%"
"2023-4-13","5.320","5.250","5.350","5.240","19.26M","3.10%"
"2023-4-12","5.160","5.250","5.290","5.120","13.52M","0.39%"
"2023-4-11","5.140","5.080","5.180","5.040","14.48M","3.21%"
"2023-4-10","4.980","4.950","5.000","4.890","10.17M","-1.19%"
"2023-4-6","5.040","4.980","5.050","4.930","12.10M","-0.20%"
"2023-4-5","5.050","5.100","5.110","4.910","16.82M","-0.39%"
"2023-4-4","5.070","4.770","5.100","4.745","24.10M","6.51%"
"2023-4-3","4.760","4.730","4.850","4.661","16.49M","1.06%"
"2023-3-31","4.710","4.760","4.790","4.670","13.76M","-0.84%"
"2023-3-30","4.750","4.750","4.760","4.665","14.96M","0.64%"
"2023-3-29","4.720","4.560","4.770","4.550","23.11M","2.83%"
"2023-3-28","4.590","4.420","4.610","4.365","24.62M","3.85%"
"2023-3-27","4.420","4.230","4.430","4.220","17.09M","1.38%"
"2023-3-24","4.360","4.290","4.400","4.240","13.51M","2.11%"
"2023-3-23","4.270","4.250","4.300","4.180","13.92M","1.91%"
"2023-3-22","4.190","4.150","4.250","4.090","19.18M","0.96%"
"2023-3-21","4.150","4.200","4.210","4.090","17.37M","-2.81%"
"2023-3-20","4.270","4.170","4.280","4.120","22.21M","3.39%"
"2023-3-17","4.130","3.890","4.150","3.840","40.59M","7.83%"
"2023-3-16","3.830","3.830","3.840","3.700","19.61M","0.26%"
"2023-3-15","3.820","3.880","3.925","3.740","17.53M","0.00%"
"2023-3-14","3.820","3.800","3.830","3.730","11.24M","0.79%"
"2023-3-13","3.790","3.690","3.840","3.650","31.62M","8.29%"
"2023-3-10","3.500","3.490","3.638","3.480","15.34M","2.34%"
"2023-3-9","3.420","3.490","3.520","3.400","7.18M","-1.16%"
"2023-3-8","3.460","3.520","3.560","3.440","10.12M","-0.86%"
"2023-3-7","3.490","3.620","3.630","3.460","14.57M","-4.90%"
"2023-3-6","3.670","3.720","3.755","3.650","8.99M","-2.13%"
"2023-3-3","3.750","3.780","3.790","3.720","8.50M","0.54%"
"2023-3-2","3.730","3.710","3.740","3.685","11.26M","-0.53%"
"2023-3-1","3.750","3.730","3.800","3.690","13.82M","2.46%"
"2023-2-28","3.660","3.640","3.710","3.610","11.29M","0.83%"
"2023-2-27","3.630","3.640","3.680","3.620","10.29M","0.28%"
"2023-2-24","3.620","3.610","3.640","3.570","14.19M","-1.36%"
"2023-2-23","3.670","3.720","3.735","3.630","15.76M","-0.81%"
"2023-2-22","3.700","3.760","3.785","3.661","20.37M","-2.37%"
"2023-2-21","3.790","3.820","3.890","3.780","13.29M","-1.81%"
"2023-2-17","3.860","3.890","3.890","3.760","20.28M","-1.78%"
"2023-2-16","3.930","3.970","3.976","3.770","23.85M","0.00%"
"2023-2-15","3.930","4.070","4.070","3.900","17.90M","-5.30%"
"2023-2-14","4.150","4.160","4.210","4.080","11.56M","-0.72%"
"2023-2-13","4.180","4.180","4.220","4.120","9.94M","-0.24%"
"2023-2-10","4.190","4.260","4.280","4.140","14.49M","-1.41%"
"2023-2-9","4.250","4.400","4.420","4.230","11.07M","-1.85%"
"2023-2-8","4.330","4.410","4.420","4.320","9.34M","-1.14%"
"2023-2-7","4.380","4.380","4.440","4.310","10.12M","0.69%"
"2023-2-6","4.350","4.370","4.410","4.315","14.19M","-0.68%"
"2023-2-3","4.380","4.450","4.490","4.350","17.97M","-4.78%"
"2023-2-2","4.600","4.770","4.800","4.560","13.44M","-2.95%"
"2023-2-1","4.740","4.620","4.780","4.580","15.54M","2.16%"
"2023-1-31","4.640","4.600","4.650","4.561","13.11M","0.22%"
"2023-1-30","4.630","4.730","4.770","4.630","12.48M","-3.34%"
"2023-1-27","4.790","4.810","4.820","4.720","10.82M","-1.24%"
"2023-1-26","4.850","4.860","4.900","4.770","10.68M","-0.61%"
"2023-1-25","4.880","4.780","4.890","4.760","12.11M","1.24%"
"2023-1-24","4.820","4.720","4.820","4.500","15.46M","1.69%"
"2023-1-23","4.740","4.690","4.745","4.640","13.88M","0.42%"
"2023-1-20","4.720","4.660","4.747","4.630","10.96M","0.64%"
"2023-1-19","4.690","4.530","4.710","4.490","14.21M","2.85%"
"2023-1-18","4.560","4.690","4.731","4.560","11.00M","-1.08%"
"2023-1-17","4.610","4.740","4.750","4.585","13.63M","-2.74%"
"2023-1-13","4.740","4.660","4.780","4.640","16.62M","1.72%"
"2023-1-12","4.660","4.670","4.690","4.550","17.11M","2.19%"
"2023-1-11","4.560","4.620","4.650","4.550","13.11M","-1.08%"
"2023-1-10","4.610","4.530","4.620","4.500","27.66M","1.99%"
"2023-1-9","4.520","4.630","4.650","4.510","13.36M","-1.09%"
"2023-1-6","4.570","4.475","4.590","4.400","19.80M","2.93%"
"2023-1-5","4.440","4.440","4.455","4.365","17.78M","-1.99%"
"2023-1-4","4.530","4.360","4.560","4.340","27.47M","6.09%"
"2023-1-3","4.270","4.150","4.370","4.150","16.25M","4.40%"
"2022-12-30","4.090","4.130","4.135","4.040","6.79M","-1.21%"
"2022-12-29","4.140","4.120","4.180","4.120","7.61M","0.98%"
"2022-12-28","4.100","4.200","4.230","4.070","9.12M","-3.30%"
"2022-12-27","4.240","4.190","4.290","4.160","10.94M","1.68%"
"2022-12-23","4.170","4.160","4.220","4.080","8.38M","0.48%"
"2022-12-22","4.150","4.170","4.170","4.040","11.51M","-1.66%"
"2022-12-21","4.220","4.240","4.255","4.200","10.06M","0.72%"
"2022-12-20","4.190","4.110","4.230","4.100","12.60M","3.97%"
"2022-12-19","4.030","4.120","4.140","4.020","9.44M","-1.47%"
"2022-12-16","4.090","4.080","4.140","4.030","23.27M","0.49%"
"2022-12-15","4.070","4.170","4.195","4.060","17.94M","-4.68%"
"2022-12-14","4.270","4.320","4.340","4.190","13.34M","-1.61%"
"2022-12-13","4.340","4.410","4.485","4.280","14.62M","2.12%"
"2022-12-12","4.250","4.180","4.250","4.120","15.51M","0.95%"
"2022-12-9","4.210","4.250","4.380","4.210","11.76M","-1.17%"
"2022-12-8","4.260","4.270","4.330","4.200","14.94M","0.47%"
"2022-12-7","4.240","4.190","4.350","4.190","14.87M","2.17%"
"2022-12-6","4.150","4.240","4.280","4.110","13.55M","-1.43%"
"2022-12-5","4.210","4.300","4.350","4.190","16.28M","-3.00%"
"2022-12-2","4.340","4.300","4.380","4.240","13.44M","-0.91%"
"2022-12-1","4.380","4.240","4.440","4.200","33.13M","6.05%"
"2022-11-30","4.130","4.070","4.180","3.980","20.71M","2.74%"
"2022-11-29","4.020","4.000","4.075","3.960","13.38M","1.77%"
"2022-11-28","3.950","4.140","4.140","3.930","14.34M","-4.13%"
"2022-11-25","4.120","4.210","4.235","4.110","7.60M","-1.44%"
"2022-11-23","4.180","4.170","4.210","4.090","16.76M","-0.95%"
"2022-11-22","4.220","4.100","4.280","4.100","16.08M","4.20%"
"2022-11-21","4.050","4.100","4.100","3.990","13.30M","-1.22%"
"2022-11-18","4.100","4.090","4.120","4.020","14.03M","0.49%"
"2022-11-17","4.080","4.050","4.110","4.000","14.77M","-1.21%"
"2022-11-16","4.130","4.130","4.218","4.115","14.61M","-0.96%"
"2022-11-15","4.170","4.270","4.300","4.130","26.83M","-1.18%"
"2022-11-14","4.220","4.250","4.320","4.200","17.55M","-2.09%"
"2022-11-11","4.310","4.250","4.320","4.150","28.11M","1.89%"
"2022-11-10","4.230","4.280","4.460","4.050","32.49M","3.93%"
"2022-11-9","4.070","4.140","4.275","4.060","23.29M","-2.63%"
"2022-11-8","4.180","3.890","4.230","3.860","42.54M","7.46%"
"2022-11-7","3.890","3.900","3.950","3.820","16.28M","0.78%"
"2022-11-4","3.860","3.540","3.900","3.540","40.54M","14.20%"
"2022-11-3","3.380","3.480","3.510","3.370","19.85M","-3.70%"
"2022-11-2","3.510","3.750","3.786","3.490","20.61M","-5.90%"
"2022-11-1","3.730","3.740","3.800","3.720","11.31M","2.75%"
"2022-10-31","3.630","3.610","3.680","3.580","10.17M","-0.82%"
"2022-10-28","3.660","3.620","3.670","3.580","13.95M","-0.54%"
"2022-10-27","3.680","3.720","3.790","3.660","14.43M","-1.08%"
"2022-10-26","3.720","3.650","3.790","3.650","18.44M","3.05%"
"2022-10-25","3.610","3.550","3.635","3.550","13.59M","1.98%"
"2022-10-24","3.540","3.530","3.550","3.470","13.36M","-1.12%"
"2022-10-21","3.580","3.410","3.620","3.400","18.72M","4.99%"
"2022-10-20","3.410","3.330","3.510","3.330","19.97M","2.10%"
"2022-10-19","3.340","3.360","3.395","3.300","16.59M","-2.62%"
"2022-10-18","3.430","3.450","3.490","3.360","17.41M","0.29%"
"2022-10-17","3.420","3.460","3.485","3.395","14.35M","2.09%"
"2022-10-14","3.350","3.510","3.535","3.340","15.04M","-5.63%"
"2022-10-13","3.550","3.520","3.560","3.330","24.27M","-2.47%"
"2022-10-12","3.640","3.640","3.740","3.580","13.32M","-0.27%"
"2022-10-11","3.650","3.670","3.740","3.580","15.76M","-0.54%"
"2022-10-10","3.670","3.690","3.820","3.645","11.31M","-1.87%"
"2022-10-7","3.740","3.810","3.880","3.730","18.31M","-4.10%"
"2022-10-6","3.900","3.890","3.960","3.810","17.71M","-0.76%"
"2022-10-5","3.930","3.890","3.930","3.790","21.59M","-2.00%"
"2022-10-4","4.010","4.040","4.070","3.960","21.40M","1.52%"
"2022-10-3","3.950","3.850","3.980","3.840","22.47M","5.05%"
"2022-9-30","3.760","3.630","3.848","3.565","27.66M","4.74%"
"2022-9-29","3.590","3.480","3.620","3.480","19.94M","1.99%"
"2022-9-28","3.520","3.370","3.570","3.320","28.94M","7.32%"
"2022-9-27","3.280","3.340","3.420","3.270","16.53M","0.92%"
"2022-9-26","3.250","3.270","3.365","3.180","20.63M","-1.81%"
"2022-9-23","3.310","3.420","3.430","3.250","18.45M","-6.76%"
"2022-9-22","3.550","3.560","3.645","3.490","18.16M","0.28%"
"2022-9-21","3.540","3.530","3.670","3.470","21.27M","0.85%"
"2022-9-20","3.510","3.550","3.580","3.480","15.47M","-3.57%"
"2022-9-19","3.640","3.290","3.670","3.240","40.23M","10.64%"
"2022-9-16","3.290","3.250","3.390","3.170","21.96M","-0.30%"
"2022-9-15","3.300","3.340","3.430","3.260","14.52M","-2.37%"
"2022-9-14","3.380","3.410","3.490","3.380","8.37M","-0.59%"
"2022-9-13","3.400","3.410","3.500","3.380","9.83M","-4.49%"
"2022-9-12","3.560","3.610","3.640","3.530","13.05M","0.28%"
"2022-9-9","3.550","3.520","3.570","3.460","9.20M","2.90%"
"2022-9-8","3.450","3.380","3.460","3.350","10.68M","0.88%"
"2022-9-7","3.420","3.290","3.450","3.225","13.52M","3.95%"
"2022-9-6","3.290","3.330","3.432","3.260","11.13M","0.30%"
"2022-9-2","3.280","3.200","3.360","3.175","16.50M","5.47%"
"2022-9-1","3.110","3.210","3.220","3.090","14.75M","-5.18%"
"2022-8-31","3.280","3.290","3.370","3.275","15.75M","-0.61%"
"2022-8-30","3.300","3.410","3.420","3.280","14.86M","-2.65%"
"2022-8-29","3.390","3.400","3.480","3.360","13.26M","-0.88%"
"2022-8-26","3.420","3.660","3.680","3.380","18.43M","-6.81%"
"2022-8-25","3.670","3.680","3.690","3.600","11.07M","0.82%"
"2022-8-24","3.640","3.510","3.640","3.460","17.94M","3.12%"
"2022-8-23","3.530","3.490","3.640","3.470","11.37M","1.44%"
"2022-8-22","3.480","3.450","3.540","3.425","13.26M","-1.14%"
"2022-8-19","3.520","3.460","3.540","3.380","33.51M","0.86%"
"2022-8-18","3.490","3.370","3.500","3.360","16.81M","2.95%"
"2022-8-17","3.390","3.500","3.510","3.375","17.02M","-4.24%"
"2022-8-16","3.540","3.510","3.560","3.470","9.64M","0.28%"
"2022-8-15","3.530","3.500","3.550","3.470","11.40M","-1.94%"
"2022-8-12","3.600","3.540","3.650","3.540","10.16M","2.27%"
"2022-8-11","3.520","3.560","3.630","3.510","16.98M","0.28%"
"2022-8-10","3.510","3.480","3.590","3.460","16.23M","1.74%"
"2022-8-9","3.450","3.500","3.520","3.370","11.23M","-0.58%"
"2022-8-8","3.470","3.420","3.560","3.390","15.57M","3.58%"
"2022-8-5","3.350","3.400","3.400","3.280","24.06M","-3.74%"
"2022-8-4","3.480","3.400","3.550","3.355","17.48M","4.19%"
"2022-8-3","3.340","3.450","3.460","3.270","17.81M","-2.62%"
"2022-8-2","3.430","3.470","3.590","3.430","20.58M","-0.58%"
"2022-8-1","3.450","3.410","3.500","3.410","12.67M","1.17%"
"2022-7-29","3.410","3.410","3.460","3.290","20.97M","1.19%"
"2022-7-28","3.370","3.270","3.370","3.185","34.65M","4.33%"
"2022-7-27","3.230","3.140","3.240","3.095","18.60M","3.86%"
"2022-7-26","3.110","3.140","3.195","3.080","21.21M","-0.64%"
"2022-7-25","3.130","3.270","3.270","3.090","23.36M","-3.69%"
"2022-7-22","3.250","3.310","3.440","3.240","24.63M","0.00%"
"2022-7-21","3.250","3.220","3.300","3.170","18.78M","0.93%"
"2022-7-20","3.220","3.280","3.320","3.210","15.58M","-1.83%"
"2022-7-19","3.280","3.260","3.330","3.210","19.99M","2.18%"
"2022-7-18","3.210","3.160","3.260","3.130","26.61M","3.88%"
"2022-7-15","3.090","3.190","3.190","3.000","20.46M","-1.28%"
"2022-7-14","3.130","3.220","3.220","3.040","31.10M","-6.57%"
"2022-7-13","3.350","3.220","3.450","3.220","19.25M","2.76%"
"2022-7-12","3.260","3.320","3.360","3.210","13.02M","-2.10%"
"2022-7-11","3.330","3.310","3.420","3.270","10.66M","-0.60%"
"2022-7-8","3.350","3.380","3.420","3.290","17.22M","-1.18%"
"2022-7-7","3.390","3.360","3.470","3.330","17.25M","1.50%"
"2022-7-6","3.340","3.380","3.390","3.220","21.13M","-0.30%"
"2022-7-5","3.350","3.590","3.620","3.255","30.97M","-9.46%"
"2022-7-1","3.700","3.550","3.725","3.500","18.04M","3.35%"
"2022-6-30","3.580","3.710","3.740","3.550","18.86M","-4.53%"
"2022-6-29","3.750","3.840","3.840","3.670","17.53M","-1.57%"
"2022-6-28","3.810","4.110","4.140","3.800","25.42M","-7.07%"
"2022-6-27","4.100","4.040","4.100","3.950","16.03M","2.50%"
"2022-6-24","4.000","3.970","4.020","3.830","22.18M","0.76%"
