"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-4-28","132.44","135.00","135.82","131.68","634.29K","-1.69%"
"2023-4-27","134.71","132.38","134.93","131.27","372.52K","1.31%"
"2023-4-26","132.97","134.88","135.24","132.08","463.99K","-0.81%"
"2023-4-25","134.05","131.11","134.31","131.11","430.37K","1.45%"
"2023-4-24","132.14","130.18","132.43","129.40","437.14K","1.64%"
"2023-4-21","130.01","129.41","130.79","128.10","713.22K","-0.60%"
"2023-4-20","130.80","138.88","138.88","130.12","981.94K","-5.07%"
"2023-4-19","137.78","137.20","139.56","136.81","403.17K","-1.21%"
"2023-4-18","139.47","139.66","141.29","138.40","319.30K","0.40%"
"2023-4-17","138.91","140.72","140.72","137.58","371.67K","-1.74%"
"2023-4-14","141.37","142.18","143.98","139.11","508.93K","-1.74%"
"2023-4-13","143.88","142.11","144.96","141.46","616.58K","2.58%"
"2023-4-12","140.25","140.79","141.63","138.60","384.61K","1.31%"
"2023-4-11","138.43","137.83","140.47","137.24","428.32K","1.18%"
"2023-4-10","136.81","136.53","137.29","135.71","386.01K","-0.80%"
"2023-4-6","137.92","135.79","138.04","134.52","395.98K","1.11%"
"2023-4-5","136.40","137.01","137.54","134.39","823.64K","0.26%"
"2023-4-4","136.04","131.20","136.66","130.37","840.46K","3.37%"
"2023-4-3","131.61","129.71","132.40","128.86","499.82K","1.46%"
"2023-3-31","129.71","129.45","129.84","127.98","424.72K","0.23%"
"2023-3-30","129.41","128.82","129.65","127.44","342.42K","1.24%"
"2023-3-29","127.82","125.60","127.99","125.42","348.20K","0.79%"
"2023-3-28","126.82","126.17","127.29","123.98","548.72K","0.67%"
"2023-3-27","125.98","123.66","126.65","123.19","344.95K","-0.36%"
"2023-3-24","126.44","125.82","128.09","124.62","418.29K","1.33%"
"2023-3-23","124.78","122.63","126.42","121.68","377.06K","2.25%"
"2023-3-22","122.04","121.76","124.41","121.18","419.48K","0.12%"
"2023-3-21","121.89","124.22","124.77","120.57","557.39K","-3.22%"
"2023-3-20","125.94","126.18","127.00","123.62","576.88K","0.39%"
"2023-3-17","125.45","121.70","126.14","121.10","1.39M","4.49%"
"2023-3-16","120.06","121.10","121.10","117.54","439.00K","-0.41%"
"2023-3-15","120.56","121.45","122.68","119.16","652.28K","0.57%"
"2023-3-14","119.88","118.69","120.03","117.48","562.89K","1.37%"
"2023-3-13","118.26","117.10","120.04","116.50","779.21K","4.25%"
"2023-3-10","113.44","114.22","116.43","113.30","643.71K","0.47%"
"2023-3-9","112.91","113.17","114.50","112.43","395.04K","0.83%"
"2023-3-8","111.98","113.19","113.96","111.53","419.37K","-0.81%"
"2023-3-7","112.90","116.02","116.74","111.65","558.27K","-3.88%"
